Date,Time,kW,kVAr,kVA,scalar_kVA,status
 2021-01-01, 00:30:00,964.94,145.48,975.8450871,996.4332927, Ok
 2021-01-01, 01:00:00,975.16,139.76,985.1242984,1001.496025, Ok
 2021-01-01, 01:30:00,967.44,157.32,980.1478133,1000.761142, Ok
 2021-01-01, 02:00:00,956.52,155.5,969.0772727,992.4555663, Ok
 2021-01-01, 02:30:00,933.7,168.8,948.8356707,973.7194213, Ok
 2021-01-01, 03:00:00,942.38,154.5,954.9608968,977.0552197, Ok
 2021-01-01, 03:30:00,948.7,164.76,962.9005907,985.8843773, Ok
 2021-01-01, 04:00:00,946.78,159.7,960.154393,980.8782369, Ok
 2021-01-01, 04:30:00,944.08,149.06,955.7750415,975.2879873, Ok
 2021-01-01, 05:00:00,963.34,156.46,975.9629538,994.7625752, Ok
 2021-01-01, 05:30:00,1043.66,158.52,1055.630042,1070.578594, Ok
 2021-01-01, 06:00:00,985.2,173.26,1000.318983,1016.369624, Ok
 2021-01-01, 06:30:00,929.68,191.82,949.2627744,964.5006098, Ok
 2021-01-01, 07:00:00,939.02,185.5,957.1670755,969.1877756, Ok
 2021-01-01, 07:30:00,1010.08,210.28,1031.736054,1045.766009, Ok
 2021-01-01, 08:00:00,1090.98,217.06,1112.363432,1127.673907, Ok
 2021-01-01, 08:30:00,1447.42,246.1,1468.192721,1484.486686, Ok
 2021-01-01, 09:00:00,1842.94,273.6,1863.138428,1885.899757, Ok
 2021-01-01, 09:30:00,2069.26,314.32,2092.996419,2124.346274, Ok
 2021-01-01, 10:00:00,2091.62,350.38,2120.7641,2156.793532, Ok
 2021-01-01, 10:30:00,2123.64,351.42,2152.52012,2187.42974, Ok
 2021-01-01, 11:00:00,2267.42,383.64,2299.6463,2336.135409, Ok
 2021-01-01, 11:30:00,2372.02,369.16,2400.574512,2434.743155, Ok
 2021-01-01, 12:00:00,2305.86,359.34,2333.691405,2370.507244, Ok
 2021-01-01, 12:30:00,2285.06,378.5,2316.19547,2350.715143, Ok
 2021-01-01, 13:00:00,2265.58,391.46,2299.150641,2334.188132, Ok
 2021-01-01, 13:30:00,2540.66,469.28,2583.636382,2635.578152, Ok
 2021-01-01, 14:00:00,2577.62,462.92,2618.85849,2674.167551, Ok
 2021-01-01, 14:30:00,2281.96,408.48,2318.231514,2361.800794, Ok
 2021-01-01, 15:00:00,2123.72,392.86,2159.751286,2197.226717, Ok
 2021-01-01, 15:30:00,1190.98,314.14,1231.713157,1267.441172, Ok
 2021-01-01, 16:00:00,912.74,301.44,961.2285791,998.1205434, Ok
 2021-01-01, 16:30:00,836.24,229.84,867.2506922,897.1513758, Ok
 2021-01-01, 17:00:00,845.32,217.7,872.9027394,899.3561382, Ok
 2021-01-01, 17:30:00,705.38,197.88,732.6100182,747.308164, Ok
 2021-01-01, 18:00:00,766.36,190.04,789.5713085,807.0275952, Ok
 2021-01-01, 18:30:00,848.56,168.3,865.0889917,884.6262211, Ok
 2021-01-01, 19:00:00,918.24,151.78,930.6996648,949.2441999, Ok
 2021-01-01, 19:30:00,933.7,162.2,947.6837711,968.10049, Ok
 2021-01-01, 20:00:00,936.48,160.28,950.0970839,971.01873, Ok
 2021-01-01, 20:30:00,902.38,162.22,916.8451302,937.177621, Ok
 2021-01-01, 21:00:00,892.12,133.02,901.9824914,917.9802784, Ok
 2021-01-01, 21:30:00,852.58,150.3,865.7267158,884.2958876, Ok
 2021-01-01, 22:00:00,851.14,161.04,866.2408333,887.7248966, Ok
 2021-01-01, 22:30:00,883.2,161.82,897.9019726,921.3211496, Ok
 2021-01-01, 23:00:00,833.38,154.48,847.5767191,868.1938853, Ok
 2021-01-01, 23:30:00,842.64,155.28,856.8278987,878.47707, Ok
 2021-01-02, 00:00:00,851.12,161.14,866.2397786,887.7175686, Ok
 2021-01-02, 00:30:00,846.46,149.32,859.529519,877.8122994, Ok
 2021-01-02, 01:00:00,845.92,142.54,857.845148,872.9716654, Ok
 2021-01-02, 01:30:00,845.76,153.66,859.605359,878.6219798, Ok
 2021-01-02, 02:00:00,837.86,165.34,854.0179712,875.7923282, Ok
 2021-01-02, 02:30:00,839.76,166.86,856.1770361,876.5118462, Ok
 2021-01-02, 03:00:00,830.7,167.96,847.5099124,867.6051624, Ok
 2021-01-02, 03:30:00,863.12,166.4,879.0137055,898.7194659, Ok
 2021-01-02, 04:00:00,848.66,163.9,864.3419495,881.8116477, Ok
 2021-01-02, 04:30:00,858.72,158.08,873.1490851,890.4264705, Ok
 2021-01-02, 05:00:00,845.84,153.28,859.6162307,875.1501941, Ok
 2021-01-02, 05:30:00,932.48,156.72,945.5580938,957.9487523, Ok
 2021-01-02, 06:00:00,880.52,176.18,897.9726403,910.627809, Ok
 2021-01-02, 06:30:00,838.94,190.04,860.1950507,872.753446, Ok
 2021-01-02, 07:00:00,850.02,211.42,875.9180423,892.7864704, Ok
 2021-01-02, 07:30:00,821.7,195.26,844.5811729,860.3571852, Ok
 2021-01-02, 08:00:00,946.52,214.52,970.5250851,988.7947139, Ok
 2021-01-02, 08:30:00,1502.56,295.3,1531.302924,1555.423301, Ok
 2021-01-02, 09:00:00,2057.06,337.06,2084.491614,2110.991819, Ok
 2021-01-02, 09:30:00,2385.56,436.1,2425.093756,2467.548346, Ok
 2021-01-02, 10:00:00,2489.82,445.2,2529.309525,2580.208143, Ok
 2021-01-02, 10:30:00,2508.08,455.88,2549.174741,2599.50006, Ok
 2021-01-02, 11:00:00,2572.96,485.24,2618.316447,2665.688129, Ok
 2021-01-02, 11:30:00,2649.58,498.94,2696.148234,2744.043545, Ok
 2021-01-02, 12:00:00,2849.66,572.94,2906.685803,2967.76844, Ok
 2021-01-02, 12:30:00,2959.52,549.96,3010.185149,3074.435033, Ok
 2021-01-02, 13:00:00,2940.82,545.22,2990.934155,3050.010541, Ok
 2021-01-02, 13:30:00,2828.32,565.58,2884.315302,2943.490069, Ok
 2021-01-02, 14:00:00,2791.76,571.52,2849.659455,2912.308895, Ok
 2021-01-02, 14:30:00,2896.64,589.96,2956.108268,3018.647214, Ok
 2021-01-02, 15:00:00,2911.46,570.62,2966.85128,3032.025152, Ok
 2021-01-02, 15:30:00,2906.1,511.92,2950.843828,3004.395078, Ok
 2021-01-02, 16:00:00,2685.44,496.36,2730.92681,2781.461177, Ok
 2021-01-02, 16:30:00,2738.22,500.38,2783.564067,2839.808416, Ok
 2021-01-02, 17:00:00,2626.26,442.36,2663.254392,2714.249669, Ok
 2021-01-02, 17:30:00,1397.12,205.76,1412.19031,1433.724781, Ok
 2021-01-02, 18:00:00,1213.42,183.38,1227.198566,1246.494674, Ok
 2021-01-02, 18:30:00,1074.38,208.52,1094.42815,1109.338247, Ok
 2021-01-02, 19:00:00,1122.34,198.66,1139.786327,1156.284693, Ok
 2021-01-02, 19:30:00,1087.78,171.02,1101.141757,1123.009039, Ok
 2021-01-02, 20:00:00,1084.62,173.46,1098.402893,1122.433126, Ok
 2021-01-02, 20:30:00,994.92,153.48,1006.68859,1025.364296, Ok
 2021-01-02, 21:00:00,1022.7,141.8,1032.483671,1049.153579, Ok
 2021-01-02, 21:30:00,963.5,138.74,973.437742,990.3146111, Ok
 2021-01-02, 22:00:00,974.08,147,985.1095606,1004.900627, Ok
 2021-01-02, 22:30:00,983.08,153.38,994.9732211,1016.614775, Ok
 2021-01-02, 23:00:00,966.42,144.54,977.1690887,997.3393887, Ok
 2021-01-02, 23:30:00,950.18,147.02,961.486824,981.0060632, Ok
 2021-01-03, 00:00:00,942.16,147.66,953.6608104,973.1291742, Ok
 2021-01-03, 00:30:00,920.98,147.46,932.710358,951.6392251, Ok
 2021-01-03, 01:00:00,935.64,135.54,945.4064212,960.9919488, Ok
 2021-01-03, 01:30:00,910.94,135.46,920.9566196,938.163365, Ok
 2021-01-03, 02:00:00,901.64,150.84,914.1703316,936.4848529, Ok
 2021-01-03, 02:30:00,892.78,154.14,905.9885584,929.1291488, Ok
 2021-01-03, 03:00:00,905.18,142.74,916.3653966,935.8947496, Ok
 2021-01-03, 03:30:00,916.16,145.78,927.6858056,947.6015442, Ok
 2021-01-03, 04:00:00,907.62,144.58,919.0633497,939.2282424, Ok
 2021-01-03, 04:30:00,921.64,134.38,931.3851373,949.3184601, Ok
 2021-01-03, 05:00:00,939.96,133.1,949.3368273,964.7966305, Ok
 2021-01-03, 05:30:00,1031.12,146.02,1041.407843,1052.512346, Ok
 2021-01-03, 06:00:00,919.5,153.42,932.2113207,945.0807691, Ok
 2021-01-03, 06:30:00,863.3,178.66,881.5930385,892.7067059, Ok
 2021-01-03, 07:00:00,912.04,201.66,934.0683686,947.5434501, Ok
 2021-01-03, 07:30:00,923.94,246.02,956.1333401,977.5585794, Ok
 2021-01-03, 08:00:00,971.72,233.8,999.4509485,1021.727183, Ok
 2021-01-03, 08:30:00,1639.06,296.44,1665.651331,1690.330626, Ok
 2021-01-03, 09:00:00,2295.64,374.04,2325.912494,2357.31476, Ok
 2021-01-03, 09:30:00,2719.88,520.62,2769.258456,2826.799922, Ok
 2021-01-03, 10:00:00,2804.24,593.18,2866.291069,2929.25357, Ok
 2021-01-03, 10:30:00,2986.96,607.06,3048.024259,3113.429556, Ok
 2021-01-03, 11:00:00,2997.54,566.9,3050.675607,3117.63078, Ok
 2021-01-03, 11:30:00,3087.54,600.62,3145.416926,3212.476187, Ok
 2021-01-03, 12:00:00,2979,526.3,3025.1335,3078.520843, Ok
 2021-01-03, 12:30:00,2942.82,522.64,2988.869706,3037.642478, Ok
 2021-01-03, 13:00:00,2986.6,515.66,3030.789467,3082.843702, Ok
 2021-01-03, 13:30:00,3087.06,570.24,3139.285444,3206.530256, Ok
 2021-01-03, 14:00:00,3098.08,580.92,3152.073561,3220.579925, Ok
 2021-01-03, 14:30:00,3036.12,520.02,3080.332036,3136.837352, Ok
 2021-01-03, 15:00:00,2856,509.34,2901.062432,2955.020934, Ok
 2021-01-03, 15:30:00,1479.88,357.52,1522.453732,1563.589952, Ok
 2021-01-03, 16:00:00,1227.9,395.34,1289.973692,1331.688824, Ok
 2021-01-03, 16:30:00,1132.6,349.84,1185.398998,1224.101455, Ok
 2021-01-03, 17:00:00,1045.12,298.98,1087.044091,1123.522926, Ok
 2021-01-03, 17:30:00,937.82,227.74,965.0760903,987.7315177, Ok
 2021-01-03, 18:00:00,1011.18,201.14,1030.990927,1054.839791, Ok
 2021-01-03, 18:30:00,1077.3,200.46,1095.791724,1120.859066, Ok
 2021-01-03, 19:00:00,1067.92,177.76,1082.613386,1103.617485, Ok
 2021-01-03, 19:30:00,1063.2,194.06,1080.765249,1107.667222, Ok
 2021-01-03, 20:00:00,994.7,164.74,1008.24965,1029.069129, Ok
 2021-01-03, 20:30:00,1005.66,176.3,1020.996438,1042.76832, Ok
 2021-01-03, 21:00:00,975.94,162.72,989.4122912,1006.37567, Ok
 2021-01-03, 21:30:00,977.7,174.62,993.1714023,1013.044739, Ok
 2021-01-03, 22:00:00,955.96,173.74,971.6198378,991.6097011, Ok
 2021-01-03, 22:30:00,944.02,172.82,959.7085562,982.4956997, Ok
 2021-01-03, 23:00:00,941.48,162.72,955.4383229,975.6293983, Ok
 2021-01-03, 23:30:00,912.7,168.94,928.2036488,950.5157594, Ok
 2021-01-04, 00:00:00,905.14,167.18,920.4496575,941.1539762, Ok
 2021-01-04, 00:30:00,915.1,166.66,930.1524421,949.6411233, Ok
 2021-01-04, 01:00:00,911.44,146.92,923.2054809,937.3139467, Ok
 2021-01-04, 01:30:00,922.56,166.98,937.5496115,957.1571691, Ok
 2021-01-04, 02:00:00,925.32,168.48,940.5331535,961.0151641, Ok
 2021-01-04, 02:30:00,918.58,183,936.631313,960.9659161, Ok
 2021-01-04, 03:00:00,919.8,165.44,934.5600214,955.4568244, Ok
 2021-01-04, 03:30:00,979.74,187.9,997.5955481,1022.45736, Ok
 2021-01-04, 04:00:00,967.18,158.16,980.0263966,998.8723254, Ok
 2021-01-04, 04:30:00,933.04,196.98,953.6061881,972.9321231, Ok
 2021-01-04, 05:00:00,951.06,165.58,965.3661792,980.9154282, Ok
 2021-01-04, 05:30:00,899.68,150.92,912.2504858,929.3099335, Ok
 2021-01-04, 06:00:00,915.16,163.96,929.7315243,952.52971, Ok
 2021-01-04, 06:30:00,857.48,169.26,874.025685,895.3221848, Ok
 2021-01-04, 07:00:00,1086.86,195.22,1104.253371,1114.963433, Ok
 2021-01-04, 07:30:00,1203.38,237.46,1226.584965,1240.351603, Ok
 2021-01-04, 08:00:00,1499.72,240.52,1518.884442,1533.777687, Ok
 2021-01-04, 08:30:00,2606.82,431.64,2642.314062,2665.846395, Ok
 2021-01-04, 09:00:00,3065.92,385.6,3090.073269,3119.234777, Ok
 2021-01-04, 09:30:00,3067.1,455.56,3100.747865,3135.151753, Ok
 2021-01-04, 10:00:00,3215.12,487.44,3251.86014,3298.836051, Ok
 2021-01-04, 10:30:00,3207.56,513.66,3248.428505,3307.516518, Ok
 2021-01-04, 11:00:00,3378.36,523.22,3418.636491,3477.495966, Ok
 2021-01-04, 11:30:00,3215.5,576.68,3266.802729,3333.660593, Ok
 2021-01-04, 12:00:00,3315.42,589.72,3367.458902,3436.263518, Ok
 2021-01-04, 12:30:00,3537.64,611.16,3590.043637,3663.467592, Ok
 2021-01-04, 13:00:00,3346.32,564.96,3393.676081,3455.081753, Ok
 2021-01-04, 13:30:00,3218.18,534.14,3262.20601,3317.015126, Ok
 2021-01-04, 14:00:00,3381.56,560.16,3427.641647,3486.16017, Ok
 2021-01-04, 14:30:00,3305.5,518.16,3345.866111,3406.242822, Ok
 2021-01-04, 15:00:00,3450.44,522.18,3489.72895,3554.253087, Ok
 2021-01-04, 15:30:00,3574.7,564.88,3619.056438,3697.482424, Ok
 2021-01-04, 16:00:00,3797.06,523.02,3832.912021,3902.791265, Ok
 2021-01-04, 16:30:00,3854.68,503.28,3887.396129,3951.101639, Ok
 2021-01-04, 17:00:00,3743.98,465.06,3772.753245,3832.181218, Ok
 2021-01-04, 17:30:00,3650.5,399.06,3672.24715,3713.742756, Ok
 2021-01-04, 18:00:00,3363.56,359.3,3382.69602,3422.101355, Ok
 2021-01-04, 18:30:00,1625.42,219.7,1640.200679,1664.621666, Ok
 2021-01-04, 19:00:00,1262.22,210.48,1279.648842,1304.790203, Ok
 2021-01-04, 19:30:00,1224.5,199.02,1240.5681,1267.589644, Ok
 2021-01-04, 20:00:00,1186.38,206.92,1204.289579,1233.631492, Ok
 2021-01-04, 20:30:00,1126.88,187.02,1142.293752,1165.406993, Ok
 2021-01-04, 21:00:00,1097.6,182.6,1112.685274,1134.145941, Ok
 2021-01-04, 21:30:00,1026.42,161.94,1039.11625,1057.630222, Ok
 2021-01-04, 22:00:00,1072.2,187.8,1088.522705,1113.292692, Ok
 2021-01-04, 22:30:00,1015.68,179.1,1031.349927,1054.330198, Ok
 2021-01-04, 23:00:00,1052.12,180.54,1067.497628,1093.109203, Ok
 2021-01-04, 23:30:00,987,167.58,1001.125395,1023.412619, Ok
 2021-01-05, 00:00:00,1011.94,176.36,1027.192978,1051.579196, Ok
 2021-01-05, 00:30:00,1014.1,163.96,1027.269045,1047.104778, Ok
 2021-01-05, 01:00:00,1025.66,164.9,1038.831288,1058.354339, Ok
 2021-01-05, 01:30:00,999.82,161.96,1012.852938,1030.869494, Ok
 2021-01-05, 02:00:00,1021.14,186.4,1038.01342,1064.201253, Ok
 2021-01-05, 02:30:00,991.94,199.14,1011.732031,1035.493268, Ok
 2021-01-05, 03:00:00,1014.24,183.9,1030.777371,1055.976281, Ok
 2021-01-05, 03:30:00,1051.88,183.24,1067.72114,1093.323618, Ok
 2021-01-05, 04:00:00,1045.74,170.32,1059.519254,1082.11235, Ok
 2021-01-05, 04:30:00,1013.34,204.72,1033.812475,1056.142041, Ok
 2021-01-05, 05:00:00,1035.1,155.92,1046.777463,1064.789107, Ok
 2021-01-05, 05:30:00,994.66,158.96,1007.281886,1026.079195, Ok
 2021-01-05, 06:00:00,962.4,167.76,976.9120624,997.635532, Ok
 2021-01-05, 06:30:00,853.04,206.52,877.6831729,896.0306625, Ok
 2021-01-05, 07:00:00,1039.2,196.3,1057.577576,1070.267238, Ok
 2021-01-05, 07:30:00,1174.3,254.52,1201.566028,1221.334826, Ok
 2021-01-05, 08:00:00,1631.02,252.04,1650.378866,1671.47313, Ok
 2021-01-05, 08:30:00,2947.3,535.54,2995.560111,3025.251707, Ok
 2021-01-05, 09:00:00,3422.84,397.44,3445.83694,3484.460725, Ok
 2021-01-05, 09:30:00,3327.2,467.96,3359.947381,3395.241789, Ok
 2021-01-05, 10:00:00,3689.92,581.46,3735.452494,3806.17934, Ok
 2021-01-05, 10:30:00,3655.14,652.48,3712.920491,3783.172551, Ok
 2021-01-05, 11:00:00,3764.32,666.52,3822.872477,3898.838702, Ok
 2021-01-05, 11:30:00,3626.66,584.56,3673.468817,3743.084383, Ok
 2021-01-05, 12:00:00,3466.42,565.82,3512.29553,3573.499708, Ok
 2021-01-05, 12:30:00,3859.66,545.78,3898.057353,3963.160497, Ok
 2021-01-05, 13:00:00,3611.66,508.6,3647.295151,3705.436526, Ok
 2021-01-05, 13:30:00,3447.66,502.76,3484.125011,3540.665199, Ok
 2021-01-05, 14:00:00,3426.72,518.74,3465.761265,3524.545325, Ok
 2021-01-05, 14:30:00,3473.48,491.98,3508.148747,3572.940546, Ok
